cinema ID number,objectid,filename,title,alternatives names,venue type,opened,date,closed,county,city,street,location,proprietor,manager,projectionist,musical director,soloists,architect,seats,projector,description,references,notes,latitude,longitude,field1
11,Cinema11,,Brunswick Cinema Theatre,,Cinema,29-Nov-11,1911,,Dublin,Dublin,30 Gt Brunswick Street,"Dublin, County Dublin","Irish Amusements Ltd, Isodore I Bradlaw, Abraham Elliman (1915)","Elliman (May 1912), Captain Smallman (Oct 1912)",,,,,300,Pathé,"Proprieter: Irish Amusements Ltd, Isodore I Bradlaw, Abraham Elliman (1915)Manager: Elliman (May 1912), Captain Smallman (Oct 1912)Musical Director: ","Bio 07/12/1911 (gives opening day as Thursday, 30/11/1911), 23/05/1912 (changes Mon, Wed, Fri, Sun), 14/03/1912 (projector); EH 29/03/1915 (Abraham Elliman)",,"53.34504699200237, -6.253238251792605",-6.253238251792605,0
12,Cinema12,,"Picturedrome, Harcourt Road",Abercorn Hall,Cinema,11-Apr-12,1912,,Dublin,Dublin,3 1/2 Harcourt Road,"Dublin, County Dublin",Entertainment Halls,J. J. Worth,Edwards,,,,300,,Proprieter: Entertainment HallsManager: J. J. WorthMusical Director: ,"Bio 11/04/1912 (owner, manager). Cinema Yearbook (seats)",,53.33276051514285,-6.264270596538382,0
13,Cinema13,,Gillooly Hall,,Multipurpose venue,08-Sep-11,1911,,Sligo,Sligo,Adelaide Street,"Sligo, County Sligo",Fr Brendan Crehan,,Michael Tighe,,Miss L. Higgins (piano),,,,Proprieter: Fr Brendan CrehanManager: Musical Director: ,"ST 09/09/1911 (preview, opening), SC 18/11/1911",,54.269648,-8.479650,0
14,Cinema14,,Sligo Picture Theatre,,Cinema,16-Dec-11,1911,,Sligo,Sligo,Thomas Street,"Sligo, County Sligo",Tadhg and Joseph Kilgannon,,,David Milton,"Grand String Orchestra; 1919: piano, 1st and 2nd violin, cello and string bass",,,,Proprieter: Tadhg and Joseph KilgannonManager: Musical Director: David Milton,"Bio 27/02/1913 (Milton), 11/02/1915; SC 06/12/1919 (musicians), 25/12/1920 (loyal audience)",,54.270950,-8.471463,0
15,Cinema15,,Mountjoy Picture and Variety Palace,,Planned cinema,17-May-12,1912,,Dublin,Dublin,"1-2 Rutland Place, Summerhill","Dublin, County Dublin",Dublin Sporting and Picture Club,,,,,,,,Proprieter: Dublin Sporting and Picture ClubManager: Musical Director: ,Bio 11/07/1912; Thoms 1913 (1 to 2 Dublin Sporting Club),,53.3566020303841,-6.251893338976732,0
16,Cinema16,,Irish Cinema,"Hibernian Electric Theatre (January 1916 ""Under entirely new management"" ad ET",Cinema,11-Apr-12,1912,,Dublin,Dublin,113 Capel Streeet,"Dublin, County Dublin",R. W. Graham,T. Fullam (1916),,Miss M. Grundy,,,350,,Proprieter: R. W. GrahamManager: T. Fullam (1916)Musical Director: Miss M. Grundy,"Bio 11/04/1912, 23/05/1912, 06/06/1912; Thoms 1913 (Graham, R. Irish Cinema Theatre 56l.); ET 13/04/1912 (opening), 29/01/1916 (Fullam)",,53.349213382499265,-6.269200283302383,0
17,Cinema17,,Camden Picture House,,Cinema,25-Oct-12,1912,,Dublin,Dublin,55 Lr Camden Street,"Dublin, County Dublin",A.H. And E. Poulter (1914),F. Nowne,,,"Mr Hoffmann & Mrs Nowne (Nov 1912); Mrs Nowne, Molly Burke (violin; Bio 13/02/1913, 13/03/1913)",,400,Two Pathés,Proprieter: A.H. And E. Poulter (1914)Manager: F. NowneMusical Director: ,"Bio 18/04/1912 (construction, Poulter), 12/09/1912 (orientation), 24/10/ 1912 (Nowne), 21/11/1912 (music), 05/03/1914 (orchestra), 14/04/1914; Thoms 1913 (Camden Picture House - Proptr. Poulter, Alfd. H.); KLW 21/11/1912 (Pathés; Hoffman & Nowne)",Camden Picture House Ltd registered on 22/04/1914 to A. H. And E. Poulter (Bio),53.333923070981186,-6.2654519911922995,0
18,Cinema18,,Assembly Picture Hall,,Cinema,24-Oct-12,1912,,Dublin,Dublin,"Serpentine Ave, Sandymount","Dublin, County Dublin",I. I. Bradlaw,,,,,,,,Proprieter: I. I. BradlawManager: Musical Director: ,Bio 24/10/1912 (Bradlaw); DEM 27/10/1913 (licence),Occasional cinema in the early period,53.33176051835744,-6.223127408456905,0
19,Cinema19,,Phoenix Picture Palace,,Cinema,03-Dec-12,1912,,Dublin,Dublin,7-9 Ellis Quay,"Dublin, County Dublin","Phoenix Picure Palace Limited (David Frame, A.T. Wright, Henry Grandy, John Mackay)",Cathal MacGarvey; Aug. 1914-: Mr Alearne (son of Capt Ahearne) 1918; George Clitheroe,Edwards,Mmle Larchet (1917),,,1500,,"Proprieter: Phoenix Picure Palace Limited (David Frame, A.T. Wright, Henry Grandy, John Mackay)Manager: Cathal MacGarvey; Aug. 1914-: Mr Alearne (son of Capt Ahearne) 1918; George ClitheroeMusical Director: Mmle Larchet (1917)","Bio 13/061912  (company established); Irish Builder 12/10/1912 (seats); II 04/12/1912 (opening previous day); Bio 14/01/1915 (George Clitheroe); IL Dec. 1917 (ad: Larchet); KLW 12/12/1912 (Edwards), 17/01/1918 (Ahearne)",,53.346816531706835,-6.281151079533635,0
20,Cinema20,,Theatre de Luxe,,Cinema,16-Dec-12,1912,,Dublin,Dublin,86 Lr Camden Street,"Dublin, County Dublin",Maurice Elliman,,,,,,400,,Proprieter: Maurice EllimanManager: Musical Director: ,Bio 23/05/1912. Cinema Yearbook (seats),Refurbished substantially and reopened 04/09/1920,53.33599795490413,-6.265654758246102,0
26,Cinema26,,Mary Street Picture House,,Cinema,19-Dec-12,1912,,Dublin,Dublin,12-13 Mary Street,"Dublin, County Dublin",John J. Farrell,Bob O'Russ (1913); Bowes (1918),,May O'Russ,,,900,,Proprieter: John J. FarrellManager: Bob O'Russ (1913); Bowes (1918)Musical Director: May O'Russ,Bio 18/09/1913. Cinema Yearbook (seats); DEM 03/08/1918 (Bowes),,53.34857257879871,-6.267483868786104,0
27,Cinema27,,Dame Street Picture House,,Cinema,24-Dec-12,1912,,Dublin,Dublin,17 Dame Street,"Dublin, County Dublin",Captain Ahearne,Mr. McClean (1912),,,,Francis Bergin,275,,Proprieter: Captain AhearneManager: Mr. McClean (1912)Musical Director: ,Bio 31/10/1912 (new companies: owners); FJ 26/12/1912 (opening). Cinema Yearbook (seats),Kinematograph Yearbook 1914 puts seats at 360,53.34404104659066,-6.265061631227803,0
30,Cinema30,,Clontarf Electric Theatre,"Town Hall, Clontarf; Seaside Picture Palace",Cinema,18-Jul-13,1913,,Dublin,Dublin,61 Clontarf Road,"Dublin, County Dublin","Clontarf Entertaiment Company (L. J. Humphreys, Simon Brownstein and G. J. Mowlds)",,Gaumont Chrono,Mayne (pianist 1915),,,400,Gaumont Chrono,"Proprieter: Clontarf Entertaiment Company (L. J. Humphreys, Simon Brownstein and G. J. Mowlds)Manager: Musical Director: Mayne (pianist 1915)","ET 18/07/1913 (ad); Bio 24/07/1913 (details), 07/08/1913 (company), 11/02/1915 (Mayne); ET 24/10/1913 (case); Reopening 1916: ET 16/03/1916, DEM 17/03/1916: under entirely new management as a picture theate",,53.36270097887911,-6.217430357904808,0
31,Cinema31,,Grand Cinema,,Cinema,26-Oct-13,1913,24/04/1916,Dublin,Dublin,10-11 Lr Sackville/O'Connell Street,"Dublin, County Dublin",William Kay,William Kay,,,,,250,Gaumont,Proprieter: William KayManager: William KayMusical Director: ,"Bio 26/03/1914, 18/05/1916 (destruction). Cinema Yearbook (seats)",Opening date from Zimmerman but wrong; more likely sometime in June-July 1913. Destroyed in fighting of 1916,53.34830183581882,-6.259190115366446,0
32,Cinema32,,Cosy Cinema,Corona Cinema,Cinema,01-Mar-14,1914,,Dublin,Dublin,71b Parnell Street,"Dublin, County Dublin",James M. Fay (1919),Mr Manley,The Brothers Moiselle,,,Orpen and Dickinson,250,Two Kamms,Proprieter: James M. Fay (1919)Manager: Mr ManleyMusical Director: ,"IB 16/08/1913 (plan, architects); Bio 16/04/1914, 07/05/1914 (seats, projectors, Moiselle, programmes, Manley); DEM 16/05/1919 (Fay)",Films supplied by General Film Supply; continuous shows,53.35204299946127,-6.262290876345729,0
33,Cinema33,,Phibsboro Picture House,,Cinema,23-May-14,1914,,Dublin,Dublin,"Blaquiere Bridge, Phibsboro","Dublin, County Dublin","John J. Farrell, W. King, H. Hibbert, T. Wood",J. A. King; Bob O'Russ (from Dec. 1914),,,,,640,,"Proprieter: John J. Farrell, W. King, H. Hibbert, T. WoodManager: J. A. King; Bob O'Russ (from Dec. 1914)Musical Director: ",Number of seats: Irish Builder 28/03/1914; DEM 23/05/1914 opening; IT 06/06/1914 for details of staff during Larkin protest: Miss Duffy and Miss Eager; attendant Daniel McEvoy,"Other staff: attendant Daniel McEvoy, musicians Miss Eager and Miss Duffy (possibly Evelyn Duffy, vocalist; see Census)",53.36058601986312,-6.271590030499647,0
34,Cinema34,,Bohemian Picture Theatre,,Cinema,08-Jun-14,1914,,Dublin,Dublin,154-55 Phibsboro Road,"Dublin, County Dublin",Frederick Arthur Sparling,"W.O. Ashton (06/1914-09/1914), Ernest Matthewson (09/1914-1917),","Harry Michelson and McKenna (Mar. 1915), W. James (Nov. 1915), William Jones (1915)","Percy B. Carver, M. Blanchard (1920);Leslie James (Apr 1920); Alf Higdon (1923-30)",Clive Twelvetrees (ET 22/04/1916),,900,Ernemann Jubilee (x2),"Proprieter: Frederick Arthur SparlingManager: W.O. Ashton (06/1914-09/1914), Ernest Matthewson (09/1914-1917),Musical Director: Percy B. Carver, M. Blanchard (1920);Leslie James (Apr 1920); Alf Higdon (1923-30)","IT 09/06/1914 (opening: projectors, furnishings) ; Bio 11/11/1915 (W. James); ET 22/04/1916 (Twelvetrees); FJ 10/09/1923 (Higdon)","Seats: Irish Builder has ""about 860...180 will be seated in the balcony"" (16/08/1913),",53.36141333164634,-6.272429114799375,0
35,Cinema35,,Masterpiece Theatre,,Cinema,27-Jul-14,1914,,Dublin,Dublin,99 Talbot Street,"Dublin, County Dublin",Charles McEvoy,Cathal MacGarvey,,P. J. Griffiths,,George L. O'Connor,450,Two Kamms,Proprieter: Charles McEvoyManager: Cathal MacGarveyMusical Director: P. J. Griffiths,Bio 06/8/1914; IT 28/07/1914,,53.350215568603716,-6.257113808756315,0
36,Cinema36,,Pillar Picture House,,Cinema,02-Dec-14,1914,,Dublin,Dublin,62 Upr Sackville/O'Connell Street,"Dublin, County Dublin",John J. Farrell,"Bob O'Russ (1914), J[ohn] D[aniel] Hozier (1917)",,"May O'Russ (1914), Harris Rosenberg (1916),",,,400,Two Indomitables,"Proprieter: John J. FarrellManager: Bob O'Russ (1914), J[ohn] D[aniel] Hozier (1917)Musical Director: May O'Russ (1914), Harris Rosenberg (1916),","II 02/12/1914; Bio 17/12/1914, 24/12/1914 (O'Russ, Indomitables); Irish Builder 27/02/1915; ET 22/02/1917 (Hozier)",,53.35029060681819,-6.260845757761683,0
37,Cinema37,,Carlton Cinema Theatre,,Cinema,27-Dec-15,1915,,Dublin,Dublin,52 Upr Sackville/O'Connell Street,"Dublin, County Dublin",F. W. Chambers (1915-1919); Robinson (1919-),,Hubert Davis,Geo Hoyle,Erwin Goldwater,Thomas F. McNamara,,Two Gaumonts,Proprieter: F. W. Chambers (1915-1919); Robinson (1919-)Manager: Musical Director: Geo Hoyle,"Bio 06/01/1916 (opening), 27/01/1916 (Davis, Gaumonts), 05/06/1919 (Robinson); ET 03/01/1916; Goldwater engagement DEM 17/03/1916, ET 18/03/1916",Other staff: foreman Cochran (from Sandford),53.35096635478672,-6.261487075386481,0
38,Cinema38,,Sandford Picture House,,Cinema,09-Nov-14,1914,,Dublin,Dublin,5 Lr Sandford Road,"Dublin, County Dublin",Sandford Cinema Co. (Percy Whittle),Messrs Whittle,Hubert Davis (-Dec 1915),Violetta Morosini (1919),,,450,Two Gaumonts,Proprieter: Sandford Cinema Co. (Percy Whittle)Manager: Messrs WhittleMusical Director: Violetta Morosini (1919),"Bio 19/11/1914, 27/01/1916 (Davis); Cinema Yearbook (seats); DEM 05/04/1919 (Morosini)",Other staff: foreman Cochran,53.323200839373996,-6.2498584897533975,0
39,Cinema39,,"Town Hall, Rathmines",,Multipurpose venue,10-Oct-12,1912,c.02/05/1922,Dublin,Dublin,Lr Rathmines Road,"Dublin, County Dublin",Irish Animated Picture Company (James T. Jameson & Sons); Frederick Arthur Sparling (Aug. 1916-),,,Mr Mitchell (1917),String quartette (1916),,,,Proprieter: Irish Animated Picture Company (James T. Jameson & Sons); Frederick Arthur Sparling (Aug. 1916-)Manager: Musical Director: Mr Mitchell (1917),Bio 10/10/1912; DEM 10/02/1917 (Mitchell),Opening date based on Bio item; closing date based on decision of Rathmines Town Council not to let the Town Hall for use as a cinema.,53.32407632582338,-6.26518815212206,0
40,Cinema40,,Princess Cinema,,Cinema,24-Mar-13,1913,,Dublin,Dublin,145 Lr Rathmines Road,"Dublin, County Dublin","Rathmines Amusement Co. (I. I. Bradlaw, Messrs Karmel)","Cyril Bradlaw (1913), James J. Worth (1913-14)",Patrick Byrne (called foreman),Prof. Joseph Louis Renaud (1913-16),,,900,"Three ?: two used, one held in reserve","Proprieter: Rathmines Amusement Co. (I. I. Bradlaw, Messrs Karmel)Manager: Cyril Bradlaw (1913), James J. Worth (1913-14)Musical Director: Prof. Joseph Louis Renaud (1913-16)","IT 25/03/1913 (opening, seats); Bio 01/05/1913 (opening, Byrne), 18/09/1913, 27/11/1913 (Beeston), 14/01/1915 (Renaud)",,53.3252876962593,-6.2654169871736896,0
41,Cinema41,,Manor Street Picture House,,Cinema,10-May-20,1920,,Dublin,Dublin,60-1 Manor Street,"Dublin, County Dublin",Manor Street Picture Co. (Manor Street),George Fagan,,,,,600,,Proprieter: Manor Street Picture Co. (Manor Street)Manager: George FaganMusical Director: ,"Irish Builder 23/05/1914 (construction, seats); Bio 30/07/1914 (company); Kearns (opening date)","The company was set up in 1914 and premises built, but no evidence it opened before 1920",53.35288529502703,-6.285003566387711,0
42,Cinema42,,Theatre Royal Pictures,,Theatre,14-Sep-14,1914,,Dublin,Dublin,Hawkins Street,"Dublin, County Dublin",,,,,,,,,Proprieter: Manager: Musical Director: ,,,53.34662187271814,-6.256739182113906,0
43,Cinema43,,Cinema Palace,,Multipurpose venue,22-Apr-12,1912,,Dublin,Dublin,Townsend Street,"Dublin, County Dublin",Entertainment Halls,"Bob O'Russ (1912), Butler (1914)",,May O'Russ,,,,,"Proprieter: Entertainment HallsManager: Bob O'Russ (1912), Butler (1914)Musical Director: May O'Russ","Bio 25/04/1912 (proprietor, O'Russ), 08/02/1914 (Butler)",Opening date based on first Bio reference,53.34608310791923,-6.256115472251457,0
44,Cinema44,,Kingstown Pavilion,,Multipurpose venue,19-May-10,1910,29/06/1974,Dublin,Kingstown,Royal Marine Road,"Kingstown, County Dublin",Irish Animated Picture Company; McCrea and Phillips (Oct 1913),Mr Crooper (IAPC); Ansdell Wilson (1912-13); Thomas J. Gogan (1917-1937),Mr Brown (1912),"Ms D'Arcy, leading Pavilion Ladies' Orchestra; Madame Lucy Donnelly (1918-?)",Orchestra of five players (1913); Eileen Reidy (1917),Bertie Crewe,800,,"Proprieter: Irish Animated Picture Company; McCrea and Phillips (Oct 1913)Manager: Mr Crooper (IAPC); Ansdell Wilson (1912-13); Thomas J. Gogan (1917-1937)Musical Director: Ms D'Arcy, leading Pavilion Ladies' Orchestra; Madame Lucy Donnelly (1918-?)","Bio 19/05/1910 (IAPC season), 23/05/1912 (turns), 14/04/1914; Irish Builder 12/02/1916; IT 09/07/1917 (reopening, Lucy Donnelly), 24/07/1917 (Reidy); ET 10/07/1917 (seats)","IAPC seasons up to 1914; Supplied by Gaumont (1914); destroyed by fire 13/11/1915 and only reopened as cinema 07/07/1917 under Gogan; several subsequent fires; on Gogan, see articles in IT, IP on his appointment as manager of Carlton in 1937. Lucy Donnell",53.2940584474152,-6.133633673123341,0
45,Cinema45,,Assembly Rooms Picturedrome,,Cinema,23-Dec-09,1909,,Cork,Cork,22 South Mall,"Cork, County Cork",Alex McEwan,,,,1911: pianist Cissie Kingsley,,,,Proprieter: Alex McEwanManager: Musical Director: ,"Bio 30/12/1909 (opening); CC 21, 24 Jan 1911 (accompanist)","First place to show films in Cork on 29/04/1896; McEwan died in April 1919, obit. CE",51.896563607841045,-8.471333767611679,0
46,Cinema46,,"Palace Theatre, Cork",,Cinema,19-Apr-97,#NUM!,,Cork,Cork,12 King Street (now MacCuratin Street),"Cork, County Cork",,"Thomas F. O'Brien (1909), R. M. Magrath (1914)",,,,,2500,,"Proprieter: Manager: Thomas F. O'Brien (1909), R. M. Magrath (1914)Musical Director: ","Bio 29/04/1909 (O'Brien), 27/06/1912, 11/06/1914, 25/06/1914 (Magrath)",Some of the first films in Cork - but not the first; those were at the Assembly Rooms - were on the Palace's opening night,51.901289153469364,-8.468302015203257,0
47,Cinema47,,"Opera House, Cork",,Theatre,09-Sep-96,#NUM!,,Cork,Cork,Lavitts Quay,"Cork, County Cork",Irish Animated Picture Company (leasee),,,,,,,,Proprieter: Irish Animated Picture Company (leasee)Manager: Musical Director: ,Bio 27/06/1912,Occasional film shows from 1896. Hired by IAPC week of 27/06/1912,51.90027159672036,-8.47286416680125,0
48,Cinema48,,St. George's Hall,,Theatre,17-Aug-08,1908,c. 01/04/1914,Antrim,Belfast,35 High Street,"Belfast, County Antrim",Entertainment Halls,Herbert Rogers,,Elsie Sheard,1909: pianist Renée Baker (Bio 26/08/1909),,1500,,Proprieter: Entertainment HallsManager: Herbert RogersMusical Director: Elsie Sheard,"Bio 12/01/1911, 27/06/1912, BT 03/01/1911 (Elsie Sheard); Cine Yr Book, 1915; Rocketts (opening date); Hughes (address)",Closed by court rder,54.59983114884388,-5.927065132016553,0
49,Cinema49,,Alhambra Variety Theatre,,Theatre,09-Mar-08,1908,,Antrim,Belfast,39-43 North Street,"Belfast, County Antrim",Entertainment Halls (Liverpool),Will White,,P. H. Boyle,,,,,Proprieter: Entertainment Halls (Liverpool)Manager: Will WhiteMusical Director: P. H. Boyle,"Bio 20/11/1913; Hughes 103 (White, cine-variety) 138 (full licence 17/11/1910); BET 10/03/1908 (opening, Boyle)",First Belfast cinematograph show 31/08/1896 (Hughes 19),54.60152410817963,-5.929934285835217,0
50,Cinema50,,Kelvin Picture Palace,,Cinema,20-Dec-10,1910,,Antrim,Belfast,17-18 College Square East,"Belfast, County Antrim",,Henry Pulling,,P. Boyle,,,500,,Proprieter: Manager: Henry PullingMusical Director: P. Boyle,"Bio 30/05/1912 (address, connection to Lord Kelvin, seating capacity), 27/06/1912; 03/12/1914; 07/01/1915 (feature, incl. Pulling); Ireland's Saturday Night 17/12/1910 (opening); Hughes 142 (opening date)",,54.596599688880644,-5.9343970608850425,0
51,Cinema51,,Shankill Picturedrome,,Cinema,19-Dec-10,1910,,Antrim,Belfast,148 Shankill Road,"Belfast, County Antrim",Belfast Electric Theatres,"Edwin Sinton (1910-Feb. 1914),",,,,Campbell & Fairhurst,500,,"Proprieter: Belfast Electric TheatresManager: Edwin Sinton (1910-Feb. 1914),Musical Director: ","Bio 27/06/1912, 28/08/1913; ISN 17/12/1910 (opening); Hughes 138 (opening date, architects)",,54.603827828991,-5.946680072278816,0
52,Cinema52,,Royal Avenue Picture House,"Picture House, Belfast",Cinema,19-Jun-11,1911,,Antrim,Belfast,34 Royal Avenue,"Belfast, County Antrim",Provincial Cinematograph Theatres/R. T. Jupp,"Noel Hobart (to Nov. 1913), Grieg, Edwin Sinton (Feb.-Sep. 1914: enlisted), J. Firth (Oct. 1914), James J. Worth (1917)",,"Harold Weston, Louis Lewis (Jan. 1915), J. Gold (Jul. 1915), Enrico Ciganelli (1916), violinist Jacques Jacobs (May 1920), David Curry (1923)",Violin: Harold Weston,,720,,"Proprieter: Provincial Cinematograph Theatres/R. T. JuppManager: Noel Hobart (to Nov. 1913), Grieg, Edwin Sinton (Feb.-Sep. 1914: enlisted), J. Firth (Oct. 1914), James J. Worth (1917)Musical Director: Harold Weston, Louis Lewis (Jan. 1915), J. Gold (Jul. 1915), Enrico Ciganelli (1916), violinist Jacques Jacobs (May 1920), David Curry (1923)","IB 24/06/1911 (opening date, decoration, seats); Bio 29/06/1911, 14/03/1912, 17/09/1914 (on Sinton/Linton), 22/10/1914 (Firth); BT (Weston); BNL 19/01/1915 (Lewis), 04/04/1916 (Ciganelli), 18/10/1917 (Worth); Hughes 150",Kinematograph Yearbook 1914 puts seating at 620,54.60105722952101,-5.931438787134809,0
53,Cinema53,,Gaiety Theatre,,Theatre,,1899,,Dublin,Dublin,South King Street,"Dublin, County Dublin",,,,,,,,,Proprieter: Manager: Musical Director: ,,,53.340411725799335,-6.261563390663737,0
54,Cinema54,,"Tivoli, Dublin",,Theatre,,1899,,Dublin,Dublin,12-13 Burgh Quay,"Dublin, County Dublin",,,,,,,,,Proprieter: Manager: Musical Director: ,,,53.3473073777727,-6.256171869356617,0
